Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Pollution_Level
130,7053,35,0,-0.20107110354971808,Good,-0.006894027519452412,Good,-0.5830483105713736,Good,-0.9402225667302152,Good,Low
164,7103,35,0,-0.20107110354971808,Good,-0.18484184675917645,Good,0.17827690742855065,Good,-0.6117270922649248,Good,Low
124,7134,27,0,-0.7469152898955511,Good,-0.29161053830301087,Good,-0.20238570157141153,Good,-0.8672235724045951,Good,Low
130,7175,48,0,-0.20107110354971808,Good,0.13546422787232681,Good,-0.3927170060713926,Good,-0.37448036070665963,Good,Low
69,7208,307,1,-0.20107110354971808,Good,0.34900161095999566,Good,-0.5830483105713736,Good,4.3522045218772405,Hazardous,High
42,7240,54,2,-0.20107110354971808,Good,-0.3627896659989005,Good,-0.5830483105713736,Good,-0.26498186921822947,Moderate,Low
166,8098,61,2,0.3447730827961149,Good,-0.3272001021509557,Good,2.4622525614283237,Good,-0.13723362914839435,Moderate,Low
151,8102,36,0,-0.20107110354971808,Good,0.028695536328492397,Good,-0.3927170060713926,Good,-0.70297583517195,Good,Low
166,8131,42,0,-0.20107110354971808,Good,0.24223291941616126,Good,-0.20238570157141153,Good,-0.5752275951021149,Good,Low
58,8139,42,0,-0.7469152898955511,Good,-0.11366271906328684,Good,-0.3927170060713926,Good,-0.48397885219508974,Good,Low
33,8241,151,3,1.4364614554877808,Good,0.34900161095999566,Good,0.17827690742855065,Good,1.5052437431780574,Unhealthy,High
52,8343,102,4,-0.20107110354971808,Good,-0.43396879369479013,Good,-0.5830483105713736,Good,0.6110060626892115,Unhealthy for Sensitive Groups,Low
113,8407,115,4,0.8906172691419479,Good,-0.3983792298468453,Good,-0.20238570157141153,Good,0.8482527942474768,Unhealthy for Sensitive Groups,Low
75,8437,64,2,-0.20107110354971808,Good,0.6337181217435541,Moderate,-0.3927170060713926,Good,-0.0824843834041793,Moderate,Low
58,8452,40,0,-0.20107110354971808,Good,-0.18484184675917645,Good,-0.20238570157141153,Good,-0.5204783493578998,Good,Low
77,8458,45,0,-0.20107110354971808,Good,0.34900161095999566,Good,-0.5830483105713736,Good,-0.5569778465207098,Good,Low
155,19995,65,2,-0.20107110354971808,Good,-0.042483591367397225,Good,-0.5830483105713736,Good,-0.06423463482277426,Moderate,Low
70,20001,17,0,-0.20107110354971808,Good,-0.7898644321742382,Good,-0.5830483105713736,Good,-0.9402225667302152,Good,Low
130,20065,52,2,-0.20107110354971808,Good,0.13546422787232681,Good,-0.3927170060713926,Good,-0.30148136638103956,Moderate,Low
77,20074,69,2,-0.20107110354971808,Good,1.2031511433106712,Moderate,-0.3927170060713926,Good,-0.15548337772979937,Moderate,Low
123,20107,44,0,-0.20107110354971808,Good,-0.07807315521534203,Good,-0.3927170060713926,Good,-0.4474793550322797,Good,Low
67,20134,50,0,-0.20107110354971808,Good,0.20664335556821645,Good,-0.3927170060713926,Good,-0.3379808635438496,Good,Low
67,20139,72,2,-0.20107110354971808,Good,0.24223291941616126,Good,-0.3927170060713926,Good,0.06351360524706087,Moderate,Low
158,20168,49,0,-0.20107110354971808,Good,0.4913598663517749,Good,-0.3927170060713926,Good,-0.66647633800914,Good,Low
69,20183,127,4,0.3447730827961149,Good,1.060792887918892,Moderate,-0.3927170060713926,Good,1.067249777224337,Unhealthy for Sensitive Groups,Low
71,20189,125,4,0.3447730827961149,Good,3.1961667187955802,Unhealthy for Sensitive Groups,-0.3927170060713926,Good,0.24601109106111108,Moderate,Low
122,20195,41,0,-0.20107110354971808,Good,-0.3627896659989005,Good,-0.3927170060713926,Good,-0.5022286007764948,Good,Low
77,20221,52,2,-0.20107110354971808,Good,-0.042483591367397225,Good,-0.012054397071430436,Good,-0.30148136638103956,Moderate,Low
